Element Name,Symbol,Atomic #,Atomic Mass,Ion Charge,Electronegativity,Is Metal?
Hydrogen,H,1,1.0079,1,2.2,0
Helium,He,2,4.0026,0,,0
Lithium,Li,3,6.941,1,0.98,1
Beryllium,Be,4,9.0122,2,1.57,1
Boron,B,5,10.811,3,2.04,1
Carbon,C,6,12.0107,-4,2.55,0
Nitrogen,N,7,14.0067,-3,3.04,0
Oxygen,O,8,15.9994,-2,3.44,0
Fluorine,F,9,18.9984,-1,3.98,0
Neon,Ne,10,20.1797,0,,0
Sodium,Na,11,22.9897,1,0.93,1
Magnesium,Mg,12,24.305,2,1.31,1
Aluminum,Al,13,26.9815,3,1.61,1
Silicon,Si,14,28.0855,,1.9,1
Phosphorus,P,15,30.9738,-3,2.19,0
Sulfur,S,16,32.065,-2,2.58,0
Chlorine,Cl,17,35.453,-1,3.16,0
Argon,Ar,18,39.948,0,,0
Potassium,K,19,39.0983,1,0.82,1
Calcium,Ca,20,40.078,2,1,1
Scandium,Sc,21,44.9559,,1.36,1
Titanium,Ti,22,47.867,,1.54,1
Vanadium,V,23,50.9415,,1.63,1
Chromium,Cr,24,51.9961,,1.66,1
Manganese,Mn,25,54.938,,1.55,1
Iron,Fe,26,55.845,,1.83,1
Cobalt,Co,27,58.9332,,1.88,1
Nickel,Ni,28,58.6934,,1.91,1
Copper,Cu,29,63.546,,1.9,1
Zinc,1,30,65.39,,1.65,1
Gallium,Ga,31,69.723,3,1.81,1
Germanium,Ge,32,72.64,,2.01,1
Arsenic,As,33,74.9216,,2.18,1
Selenium,Se,34,78.96,-2,2.55,0
Bromine,Br,35,79.904,-1,2.96,0
Krypton,Kr,36,83.8,0,3,0
Rubidium,Rb,37,85.4678,1,0.82,1
Strontium,Sr,38,87.62,2,0.95,1
Yttrium,Y,39,88.9059,,1.22,1
Zirconium,Zr,40,91.224,,1.33,1
Niobium,Nb,41,92.9064,,1.6,1
Molybdenum,Mo,42,95.94,,2.16,1
Technetium,Tc,43,98,,1.9,1
Ruthenium,Ru,44,101.07,,2.2,1
Rhodium,Rh,45,102.9055,,2.28,1
Palladium,Pd,46,106.42,,2.2,1
Silver,Ag,47,107.8682,,1.93,1
Cadmium,2,48,112.411,2,1.69,1
Indium,In,49,114.818,,1.78,1
Tin,Sn,50,118.71,,1.96,1
Antimony,Sb,51,121.76,,2.05,1
Tellurium,Te,52,127.6,-1,2.1,1
Iodine,I,53,126.9045,,2.66,0
Xenon,Xe,54,131.293,0,2.6,0
Cesium,Cs,55,132.9055,1,0.79,1
Barium,Ba,56,137.327,2,0.89,1
Lanthanum,La,57,138.9055,,1.1,1
Cerium,Ce,58,140.116,,1.12,1
Praseodymium,Pr,59,140.9077,,1.13,1
Neodymium,Nd,60,144.24,,1.14,1
Promethium,Pm,61,145,,1.13,1
Samarium,Sm,62,150.36,,1.17,1
Europium,Eu,63,151.964,,1.2,1
Gadolinium,Gd,64,157.25,,1.2,1
Terbium,Tb,65,158.9253,,1.22,1
Dysprosium,Dy,66,162.5,,1.23,1
Holmium,Ho,67,164.9303,,1.24,1
Erbium,Er,68,167.259,,1.24,1
Thulium,Tm,69,168.9342,,1.25,1
Ytterbium,Yb,70,173.04,,1.1,1
Lutetium,Lu,71,174.967,,1.27,1
Hafnium,Hf,72,178.49,,1.3,1
Tantalum,Ta,73,180.9479,,1.5,1
Tungsten,W,74,183.84,,2.36,1
Rhenium,Re,75,186.207,,1.9,1
Osmium,Os,76,190.23,,2.2,1
Iridium,Ir,77,192.217,,2.2,1
Platinum,Pt,78,195.078,,2.28,1
Gold,Au,79,196.9665,,2.54,1
Mercury,Hg,80,200.59,,2,1
Thallium,Tl,81,204.3833,,1.62,1
Lead,Pb,82,207.2,,2.33,1
Bismuth,Bi,83,208.9804,,2.02,1
Polonium,Po,84,209,,2,1
Astatine,At,85,210,,2.2,1
Radon,Rn,86,222,0,,0
Francium,Fr,87,223,1,0.7,1
Radium,Ra,88,226,2,0.89,1
Actinium,Ac,89,227,,1.1,1
Thorium,Th,90,232.0381,,1.3,1
Protactinium,Pa,91,231.0359,,1.5,1
Uranium,U,92,238.0289,,1.38,1
Neptunium,Np,93,237,,1.36,1
Plutonium,Pu,94,244,,1.28,1
Americium,Am,95,243,,1.3,1
Curium,Cm,96,247,,1.3,1
Berkelium,Bk,97,247,,1.3,1
Californium,Cf,98,251,,1.3,1
Einsteinium,Es,99,252,,1.3,1
Fermium,Fm,100,257,,1.3,1
Mendelevium,Md,101,258,,1.3,1
Nobelium,No,102,259,,1.3,1
Lawrencium,Lr,103,262,,1.3,1
Rutherfordium,Rf,104,261,,,1
Dubnium,Db,105,262,,,1
Seaborgium,Sg,106,266,,,1
Bohrium,Bh,107,264,,,1
Hassium,Hs,108,277,,,1
Meitnerium,Mt,109,268,,,1
Darmstadtium,DS,110,281,,,1
Roentgenium,Rg,111,272,,,1
